Rk,Team,Conf,W-L,NetRtg,ORtg,,DRtg,,AdjT,,Luck,,SNetRtg,,SORtg,,SDRtg,,SOSNetRtg,
1,Duke,ACC,29-3,38.83,128.7,2,89.9,4,66,254,-0.032,270,9.12,59,112,51,102.9,65,9.46,21
2,Auburn,SEC,27-4,35.81,129.6,1,93.8,13,68,136,0.038,85,18.38,2,117,2,98.6,2,10.23,19
3,Houston,B12,28-4,34.72,123.6,11,88.9,3,61.4,360,0.012,143,12.86,29,113,42,100.1,18,2.47,102
4,Florida,SEC,27-4,34.53,126.9,4,92.3,9,69.5,66,0.003,172,12.64,34,113.4,34,100.7,29,-2.14,238
5,Tennessee,SEC,25-6,30.84,118.8,23,88,1,63.8,346,0.016,136,14.42,14,115.9,4,101.5,48,-0.86,200
6,Alabama,SEC,24-7,29.81,126.9,3,97.1,35,74.8,1,0.025,118,18.77,1,117.8,1,99,4,11.85,10
7,Texas Tech,B12,25-7,28.49,125.1,6,96.6,30,65.6,280,-0.034,274,10.65,49,111.6,60,100.9,32,-4.55,305
8,Michigan St.,B10,26-5,27.53,118.3,30,90.7,5,67.7,151,0.003,171,12.56,35,113.8,23,101.3,45,0.36,157
9,Gonzaga,WCC,25-8,27.41,123.7,10,96.3,26,70.3,46,-0.074,341,7.08,72,110.9,74,103.8,81,9.03,22
10,Iowa St.,B12,24-9,27.05,119.4,19,92.4,10,68.7,101,-0.048,298,12.65,33,113.6,31,100.9,31,-0.97,204
11,Wisconsin,B10,24-8,25.58,122.4,12,96.8,31,67.7,152,-0.034,272,12.72,32,113.9,21,101.2,42,-0.2,179
12,Arizona,B12,21-11,25.46,122.3,13,96.9,32,69.9,56,-0.05,305,15.38,9,114.7,14,99.3,7,5.13,50
13,St. John's,BE,28-4,25.39,113.8,66,88.4,2,69.9,57,-0.017,228,8.41,65,111.5,62,103.1,69,-0.04,172
14,Maryland,B10,24-7,25.38,117.5,33,92.1,6,70,54,-0.021,243,9.86,54,112.6,45,102.7,62,-10.65,360
15,Kentucky,SEC,22-10,25.28,125,7,99.7,56,70.9,27,0,180,17.23,3,116.5,3,99.3,5,3.63,78
16,Purdue,B10,22-10,24.88,124.5,8,99.6,55,65.1,297,-0.01,211,15.37,10,115.4,6,100.1,17,10.35,18
17,Missouri,SEC,22-10,24.76,125.4,5,100.6,68,68.2,127,-0.043,292,12.24,38,113.3,37,101.1,37,-9.42,355
18,Illinois,B10,21-11,24.64,122.3,14,97.7,40,71.5,17,-0.017,229,15.46,7,114.9,9,99.4,8,3.33,84
19,Clemson,ACC,27-5,24.21,119,21,94.8,17,64.1,335,-0.019,234,7.8,68,111.3,63,103.5,74,3.83,72
20,Texas A&M,SEC,22-10,24.15,116.4,42,92.3,8,66.3,238,0.001,178,16.19,4,115.5,5,99.3,6,7.1,36
21,Kansas,B12,21-12,23.26,116,47,92.8,11,68.5,116,-0.024,251,15.43,8,114.9,8,99.4,9,8.51,28
22,Saint Mary's,WCC,28-5,23.19,115.4,55,92.2,7,61.8,359,0.005,163,5.42,86,111,71,105.6,118,5.25,48
23,BYU,B12,24-8,23.01,123.8,9,100.8,71,67.3,185,0.036,88,10.35,52,111.5,61,101.2,40,-7.72,346
24,UCLA,B10,22-9,22.57,116.9,35,94.3,15,65,302,-0.006,193,11.94,42,113.4,35,101.4,47,-5.19,313
25,Louisville,ACC,26-6,22.51,118.4,26,95.9,23,68.7,100,0.057,54,9.11,60,112,52,102.9,66,7.05,40
26,Mississippi,SEC,22-10,21.97,118.5,25,96.6,29,68.4,120,0.031,101,15.16,11,114.7,12,99.6,10,-0.69,195
27,Marquette,BE,23-9,21.96,118.3,28,96.4,27,67.4,180,-0.012,216,11.77,44,112.9,43,101.1,39,8.49,29
28,Baylor,B12,19-14,21.13,120.9,17,99.7,58,64.7,319,-0.054,313,15.62,5,113.8,24,98.2,1,7.57,33
29,Michigan,B10,22-9,20.55,115.7,50,95.2,19,69.6,62,0.054,60,13.68,20,113.7,27,100,16,3.57,79
30,VCU,A10,25-6,20.47,116.5,39,96.1,24,66.3,236,-0.067,330,0.6,134,106.9,147,106.3,137,-4.13,292
31,Oregon,B10,24-8,20.45,117,34,96.6,28,67.7,157,0.095,23,13.7,19,114.3,19,100.6,26,4.23,65
32,Mississippi St.,SEC,21-12,20.13,118.8,24,98.7,48,68.3,125,0.012,142,14.81,12,115.1,7,100.3,20,0.62,145
33,Connecticut,BE,23-9,19.96,122.1,15,102.1,87,64.2,331,-0.012,217,9.68,56,111.9,55,102.2,55,-0.05,173
34,Georgia,SEC,20-12,19.3,115.5,53,96.1,25,66.6,222,-0.001,184,13.58,21,113.9,22,100.3,19,-5.54,321
35,North Carolina,ACC,22-12,19.07,118.9,22,99.8,59,70.6,34,-0.006,190,11.42,46,113,41,101.6,52,13.37,6
36,Creighton,BE,23-9,18.48,116.5,40,98,43,67.5,174,0.048,70,10.54,51,111.8,57,101.3,44,5.55,46
37,Oklahoma,SEC,20-13,18.36,119.1,20,100.7,70,68.7,105,0.005,162,14.63,13,114.6,15,100,15,-5.44,320
38,Ohio St.,B10,17-15,18.35,117.7,32,99.3,53,67.1,196,-0.07,334,14.35,16,114.7,13,100.4,22,3.1,88
39,UC San Diego,BW,28-4,17.79,115.1,60,97.3,36,66,260,0.012,145,-2.19,188,105.7,218,107.8,192,-1.9,230
40,Arkansas,SEC,20-13,17.72,113,72,95.3,20,69.5,67,-0.008,203,13.8,18,114.8,11,101,34,-2.66,252
,,,,,,,,,,,,,Strength of Schedule,,,,,,NCSOS,
Rk,Team,Conf,W-L,NetRtg,ORtg,,DRtg,,AdjT,,Luck,,NetRtg,,ORtg,,DRtg,,NetRtg,
41,New Mexico,MWC,26-6,17.57,112.4,79,94.9,18,73.1,4,0.014,138,5.88,84,108.9,92,103,68,5.13,49
42,Texas,SEC,19-14,17.32,116.2,45,98.8,49,67.5,171,-0.049,303,13.45,22,114.1,20,100.6,27,-8.23,349
43,Xavier,BE,21-11,17.04,115.4,56,98.3,45,69.2,73,-0.02,238,9.26,58,111.2,66,101.9,53,-1.51,220
44,Boise St.,MWC,23-9,16.54,116.4,43,99.8,60,65.7,272,-0.007,199,5.5,85,108.7,95,103.2,71,1.65,124
45,Northwestern,B10,17-16,16.44,113.9,63,97.5,39,65.1,300,-0.089,350,12.45,36,113.7,25,101.3,43,-2.02,233
46,San Diego St.,MWC,21-9,16.26,109.8,112,93.6,12,66.1,246,0.01,154,8.71,61,111.2,68,102.5,60,12.88,8
47,Indiana,B10,19-13,16.25,113.7,67,97.5,38,68,139,0.024,120,13.28,24,114.4,17,101.1,38,1.11,135
48,Vanderbilt,SEC,20-12,16.21,118.1,31,101.9,84,69.6,64,0.025,114,12.96,28,113.7,29,100.7,28,-6.97,343
49,SMU,ACC,23-10,16.19,116.6,38,100.5,66,68.6,110,0.011,149,5.96,82,110.3,79,104.3,93,-3.86,285
50,Colorado St.,MWC,23-9,16.08,115.8,49,99.7,57,66.2,244,0.02,126,5.18,90,108.9,93,103.7,77,1.52,126
51,Memphis,Amer,26-5,15.94,113.8,65,97.9,42,70.5,38,0.079,32,6.23,79,111.2,65,104.9,101,15.69,4
52,Utah St.,MWC,26-6,15.75,121,16,105.2,139,67.6,162,0.098,21,5.21,89,108.5,102,103.2,73,0.93,139
53,West Virginia,B12,19-13,15.12,109.1,133,94,14,64.3,328,0.023,122,13.15,26,113.1,39,99.9,14,1.04,137
54,Nebraska,B10,17-14,14.85,113.3,71,98.4,46,67.5,175,-0.01,208,12.15,40,113.7,28,101.5,50,-2.95,259
55,Cincinnati,B12,18-15,14.84,110.6,100,95.7,22,65.6,281,-0.049,302,11.4,47,112.4,47,101,35,-5.04,309
56,Villanova,BE,19-14,14.23,118.3,29,104.1,116,63.1,354,-0.072,336,7.66,69,110.5,77,102.8,63,-6.29,335
57,Santa Clara,WCC,20-12,14.19,116,48,101.8,81,69,89,-0.051,311,4.17,96,109.5,87,105.4,113,3.75,74
58,Drake,MVC,30-3,14.17,112.7,75,98.5,47,58.9,364,0.004,167,-0.49,159,107.3,135,107.8,188,-2.64,249
59,McNeese,Slnd,27-6,13.71,114.4,62,100.7,69,65.5,284,-0.023,250,-2.49,203,104.7,265,107.2,160,8.77,25
60,Penn St.,B10,16-15,13.69,114.8,61,101.1,73,70,52,-0.093,354,9.32,57,112,54,102.6,61,-10.62,359
61,Pittsburgh,ACC,17-15,13.59,115.7,51,102.1,86,66.3,232,-0.068,332,8.64,63,111.9,56,103.2,72,3.64,77
62,Liberty,CUSA,26-6,13.5,111.2,96,97.7,41,65.6,278,-0.011,213,0.16,141,105.8,212,105.6,117,-2.82,255
63,USC,B10,16-17,13.06,116.8,37,103.7,109,68.3,123,-0.043,291,12.2,39,113.4,36,101.2,41,-2.06,235
64,Iowa,B10,17-16,12.89,119.7,18,106.8,173,69.7,60,-0.037,280,12.32,37,113.7,30,101.3,46,-8.42,350
65,San Francisco,WCC,24-9,12.78,111.8,89,99,50,67.8,145,0.053,63,3.83,98,109.7,85,105.8,124,-0.76,197
66,UC Irvine,BW,27-5,12.55,107,170,94.5,16,68.9,90,0.061,51,0.26,138,106.9,151,106.6,146,4.13,67
67,Kansas St.,B12,16-17,12.19,109.5,122,97.3,37,67.1,197,-0.037,279,12.8,30,112.4,46,99.6,11,-1.2,210
68,North Texas,Amer,23-7,11.74,110,110,98.2,44,60.6,362,-0.016,224,1.09,122,108.5,100,107.4,171,1.76,121
69,UCF,B12,17-16,11.61,115.5,52,103.9,111,72,11,0.025,116,11.98,41,111.7,58,99.7,12,-1.02,205
70,South Carolina,SEC,12-20,11.45,110.5,101,99.1,51,65.4,288,-0.088,349,14.4,15,114.8,10,100.4,23,-2.07,236
71,Yale,Ivy,20-7,11.31,115.3,57,104,113,67.7,155,-0.065,327,-2.93,226,106,192,109,250,-0.81,199
72,Dayton,A10,22-9,11.3,116.4,41,105.1,136,66,259,0.047,72,4.63,94,108.4,103,103.7,79,4.79,56
73,Arizona St.,B12,13-19,11.25,112.6,76,101.4,75,68.5,114,-0.019,235,15.56,6,114.5,16,99,3,8.25,30
74,Wake Forest,ACC,21-11,11.13,108.2,147,97.1,33,67.2,192,0.088,26,8.39,66,111.3,64,102.9,64,-2.42,242
75,Rutgers,B10,15-17,10.74,115.1,59,104.4,123,68.8,99,-0.012,218,13.2,25,113.6,32,100.4,21,-2.35,241
